Regressor,fit_time,score_time,ucf_train,ucf_test,aRRMSE_train,aRRMSE_test,correntropy_train,correntropy_test,fit_time_var,score_time_var,ucf_train_var,ucf_test_var,aRRMSE_train_var,aRRMSE_test_var,correntropy_train_var,correntropy_test_var
mmERC_DecisionTreeRegressor_s=0.5,0.17141520977020264,0.9352671384811402,0.4791661145416478,0.8957716701902747,1.0835649619036658,1.4733807056140988,0.31484190988314054,0.5693716390887598,0.00028173655674947897,0.0027218191192679344,1.1234617435848927e-05,0.0012225616705925464,0.0005122975171371972,0.007388347395614042,9.861738173549343e-05,0.0009826113673129318
mmERC_SVR_s=0.5,0.6468818664550782,1.6737321853637694,0.8508089735775052,0.8842494714587736,1.1677889688181142,1.2077569093895288,0.4683451982069968,0.4872940016815761,0.010264026041520536,0.5010707529555726,0.0012777394043305274,0.001171506599502074,0.0007426223489111383,0.00627870605398886,5.555327768615963e-05,0.0023329063140060183
mmERC_RandomForestRegressor_s=0.5,0.6998822212219238,1.00493483543396,0.7049903267696711,0.8936046511627905,1.0114622848327888,1.2664589300924942,0.3732796708573446,0.5381703378260078,0.00429157930665042,0.004875380081066397,0.0005289733077441884,0.0009709319086931055,0.0006107290314300628,0.006887049938654724,0.00011826336068683428,0.0008608772715853329
ERC_DecisionTreeRegressor,0.06313002109527588,0.0075091361999511715,0.0,0.8818710359408033,1.3957444148375234e-16,1.4132759089734417,0.0,0.5340936266775728,1.3019571056815948e-05,1.461934541566734e-06,0.0,0.002224971393963233,1.794348064612572e-35,0.012937984437331698,0.0,0.001955334874587783
ERC_SVR,0.18379769325256348,0.03920061588287353,0.9472749317573476,0.9606236786469344,1.0404244938263933,1.0963199992738457,0.49272481589630274,0.5144870149062253,0.00020341272766245312,1.3972009020335464e-06,4.118809430511401e-05,0.00022210185089997225,5.5379611272747324e-05,0.002658066114413605,3.0336597720092147e-05,0.0011620335784984152
ERC_RandomForestRegressor,0.34142794609069826,0.024949812889099122,0.795535737948215,0.9397463002114164,0.6566018764110116,1.1391537090388484,0.29654687082979164,0.5392638612870592,0.00036123511348705515,1.7220008822960152e-06,0.0005170083791688027,0.0018471007334766609,0.0003405361895508897,0.009294997478293664,5.656129017016414e-05,0.0020808542667841773
DecisionTreeRegressor,0.0032933950424194336,0.0014103412628173827,0.0,0.8818710359408033,0.0,1.4132759089734417,0.0,0.5340936266775728,2.1609825182622444e-07,1.1948034170927715e-08,0.0,0.002224971393963233,0.0,0.012937984437331707,0.0,0.001955334874587782
RandomForestRegressor,0.016830253601074218,0.002556777000427246,0.5334322741366972,0.9165961945031711,0.49543509974296984,1.2378817787828023,0.17536751580308285,0.525899257911717,2.5988663742282373e-06,1.9368326832136517e-07,0.0004108703185385351,0.002843216570046798,0.00015605666335837332,0.009881767026911816,3.395425038217785e-05,0.0025175952359564506
MultiOutputRegressor_DecisionTreeRegressor,0.0052557229995727536,0.0021432876586914063,0.0,0.8818710359408033,0.0,1.4132759089734417,0.0,0.5340936266775728,1.8719383035659123e-07,2.7048793299400126e-07,0.0,0.002224971393963233,0.0,0.012937984437331707,0.0,0.001955334874587782
MultiOutputRegressor_SVR,0.016138172149658202,0.005250287055969238,0.9148616595552964,0.9304968287526426,1.0654533208205659,1.128569772100902,0.47478156381110403,0.5015210250125611,1.8502278544474396e-06,2.4998213405069686e-07,0.0002023623730524717,0.0011950423279950303,3.269717203199117e-05,0.003624532990179727,3.2321764493087675e-05,0.001458320917899999
MultiOutputRegressor_RandomForestRegressor,0.03088557720184326,0.0035602331161499025,0.5686858982853205,0.9235729386892177,0.4905008918478167,1.236894935387611,0.17360140355964176,0.5304800964031199,1.3472275762183017e-05,4.365836736042184e-07,0.0005747272852941464,0.00044290190364235365,3.159448969939934e-05,0.009982456924744235,2.44004019643761e-05,0.001903686900585724
RegressorChain_DecisionTreeRegressor,0.005949664115905762,0.0026952266693115235,0.0,0.8818710359408033,0.0,1.4132759089734417,0.0,0.5340936266775728,8.398450200388653e-06,3.989698884652171e-06,0.0,0.002224971393963233,0.0,0.012937984437331707,0.0,0.001955334874587782
RegressorChain_SVR,0.01729593276977539,0.004973363876342773,0.9279761747011899,0.9306025369978859,1.0475555396395027,1.1085809253472094,0.4917867131195914,0.5177204096500234,2.2821410561846273e-06,2.728057074818935e-07,0.00040442233924432397,0.00107239394535353,0.0002517609428398382,0.004417483980676611,0.00012452131686898558,0.0014771640774228463
RegressorChain_RandomForestRegressor,0.03599956035614014,0.003772544860839844,0.7489763602151962,0.9469344608879492,0.7214730534792858,1.2277130442187671,0.3018041360002869,0.5513960302286722,6.325558035143786e-05,1.020582133151038e-06,0.00033078253017416917,0.0009413285716201294,0.00031902658447784165,0.012318505599395551,0.00010811429496246331,0.0028392277294718342
